id,Type,Region,tags.power,tags.voltage,tags.name,tags.circuits,tags.frequency,tags.source,x1,y1,x2,y2,DC,status,notes
197,way,ID,line,150000,Sintang - Putussibau,3,50,ESDM 2020,111.440949040755,0.0426630850315963,112.926416823903,0.885149205491668,FALSE,Construction,Substation - Electricity utility office as a surrogate
198,way,ID,line,150000,Sintang - Nanga Pinoh,3,50,ESDM 2020,111.440946554632,0.0426503154169166,111.741493244688,-0.336464836399845,FALSE,Construction,Substation - Electricity utility office as a surrogate
199,way,ID,line,150000,Nanga Pinoh - Kota Baru 2,3,50,ESDM 2020,111.741493244688,-0.336464836399845,111.541915499034,-0.800019256119101,FALSE,Construction,Substation - Diesel generator as a surrogate
200,way,ID,line,150000,Kedawangan - Marau,3,50,ESDM 2020,110.137830977657,-2.2955735245036,110.707746859346,-2.1244678977156,FALSE,Construction,Substation - Electricity utility office as a surrogate
201,way,ID,line,150000,Marau - Sukamara,3,50,ESDM 2020,110.707752925571,-2.12447584761543,111.200662010288,-2.77044224124614,FALSE,Construction,Electricity utility office as a surrogate - Substation
202,way,ID,line,150000,Sukamara - Pangkalan Bun,3,50,ESDM 2020,111.200671569386,-2.77043930464213,111.7035569,-2.61595035,FALSE,Construction,Electricity utility office as a surrogate - Substation
203,way,ID,line,150000,Sukamara - Nagabulik,3,50,ESDM 2020,111.200666339125,-2.77043322674828,111.46777928173,-2.21418933487143,FALSE,Construction,Electricity utility office as a surrogate - Substation
204,way,ID,line,150000,Kuala Pambuang Extension,3,50,ESDM 2020,112.909434,-2.762484,112.562575960431,-3.37485381922129,FALSE,Construction,
205,way,ID,line,150000,Kasangan - Kuala Kurun,3,50,ESDM 2020,113.434157567353,-1.8990927290719,113.5671709,-1.37203170000001,FALSE,Construction,Substation - Substation node
206,way,ID,line,150000,Kuala Kurun - Puruk Cahu,3,50,ESDM 2020,114.5462432,-0.701772600000021,113.808130306935,-1.11504945156318,FALSE,Construction,Substation - Substation node
207,way,ID,line,150000,Palangkaraya - Buntok,3,50,ESDM 2020,113.873680003731,-2.17490332205676,114.980846265095,-1.74958328602158,FALSE,Construction,Substation - Substation node
208,way,ID,line,150000,Bangkahai - Melak,3,50,ESDM 2020,115.135570799999,-0.623483300000021,115.7869046333,-0.228529345540242,FALSE,Construction,Substation - Substation (772) node
209,way,ID,line,150000,Melak - Ujoh Bilang,3,50,ESDM 2020,115.786898742578,-0.228521264736367,115.237209044999,0.525534764641901,FALSE,Construction,Substation (772) - Substation node
210,way,ID,line,150000,Melak - Kota Bangun,3,50,ESDM 2020,115.786914619415,-0.228529872331102,116.595658013885,-0.271192973209214,FALSE,Construction,Substation (772) - Substation node
211,way,ID,line,150000,Kota Bangun - Kembang Janggut,3,50,ESDM 2020,116.595662063832,-0.271185452521512,116.201276483474,0.263470841166884,FALSE,Construction,Substation - Electricity utility office as a surrogate
212,way,ID,line,150000,Kembang Janggut - Muara Bengkal,3,50,ESDM 2020,116.201279950025,0.26348229288888,116.714479366178,0.449285540038282,FALSE,Construction,Electricity utility office - Electricity utility office as a surrogate
213,way,ID,line,150000,Muara Bengkel - Muara Wahau,3,50,ESDM 2020,116.714482616632,0.449294997022279,116.922429005719,1.05430138813007,FALSE,Construction,Electricity utility office as a surrogate - Substation
214,way,ID,line,150000,Muara Wahau - Sangatta,3,50,ESDM 2020,116.922436436907,1.05429469653466,117.570812568812,0.470448491595408,FALSE,Construction,Substation - Substation node
